Scenario,Tested_Limit(R_max),Avg_Req_Min(R_avg),Burst_Ratio_%,JFI(J),Block_Rate_%
Micro_1,30,23,0.00,0.9532,0.00
Micro_2,60,95,70.53,0.4412,36.84
Micro_3,80,127,55.91,0.4044,37.01
Trans_1,100,194,60.82,0.3734,48.45
Trans_2,150,288,65.63,0.3589,47.92
Trans_3,200,413,72.88,0.3211,51.57
Mid_1,300,579,78.41,0.4115,48.19
Mid_2,400,560,74.82,0.4747,28.57
Mid_3,500,884,81.45,0.4209,43.44
Scale_1,600,926,79.70,0.4348,35.21
Scale_2,700,1334,84.56,0.4682,47.53
Scale_3,800,1674,86.62,0.4382,52.21
Stress_1,1000,1766,84.60,0.4557,41.96
Stress_2,1200,2408,86.30,0.4784,49.34
Stress_3,1500,2942,85.01,0.4471,43.13
Stress_Peak,2000,3790,87.49,0.4647,39.50
