Target_Load,Target_Burst_%,Tested_Limit(R_max),Actual_RPM,Actual_Burst_%,JFI(J),Block_Rate_%
100,10,100,98,10.20,0.9434,0.00
100,10,120,98,10.20,0.9434,0.00
100,10,150,98,10.20,0.9434,0.00
100,10,200,98,10.20,0.9434,0.00
100,10,250,98,10.20,0.9434,0.00
100,20,100,100,20.00,1.0000,0.00
100,20,120,100,20.00,1.0000,0.00
100,20,150,100,20.00,1.0000,0.00
100,20,200,100,20.00,1.0000,0.00
100,20,250,100,20.00,1.0000,0.00
100,30,100,102,29.41,0.9398,1.96
100,30,120,102,29.41,0.9475,0.00
100,30,150,102,29.41,0.9475,0.00
100,30,200,102,29.41,0.9475,0.00
100,30,250,102,29.41,0.9475,0.00
100,40,100,104,38.46,0.7987,3.85
100,40,120,104,38.46,0.8244,0.00
100,40,150,104,38.46,0.8244,0.00
100,40,200,104,38.46,0.8244,0.00
100,40,250,104,38.46,0.8244,0.00
100,50,100,98,51.02,0.6244,0.00
100,50,120,98,51.02,0.6244,0.00
100,50,150,98,51.02,0.6244,0.00
100,50,200,98,51.02,0.6244,0.00
100,50,250,98,51.02,0.6244,0.00
500,10,500,490,10.20,0.9434,0.00
500,10,600,490,10.20,0.9434,0.00
500,10,750,490,10.20,0.9434,0.00
500,10,1000,490,10.20,0.9434,0.00
500,10,1250,490,10.20,0.9434,0.00
500,20,500,500,20.00,1.0000,0.00
500,20,600,500,20.00,1.0000,0.00
500,20,750,500,20.00,1.0000,0.00
500,20,1000,500,20.00,1.0000,0.00
500,20,1250,500,20.00,1.0000,0.00
500,30,500,510,29.41,0.9398,1.96
500,30,600,510,29.41,0.9475,0.00
500,30,750,510,29.41,0.9475,0.00
500,30,1000,510,29.41,0.9475,0.00
500,30,1250,510,29.41,0.9475,0.00
500,40,500,520,38.46,0.7987,3.85
500,40,600,520,38.46,0.8244,0.00
500,40,750,520,38.46,0.8244,0.00
500,40,1000,520,38.46,0.8244,0.00
500,40,1250,520,38.46,0.8244,0.00
500,50,500,490,51.02,0.6244,0.00
500,50,600,490,51.02,0.6244,0.00
500,50,750,490,51.02,0.6244,0.00
500,50,1000,490,51.02,0.6244,0.00
500,50,1250,490,51.02,0.6244,0.00
1000,10,1000,980,10.20,0.9434,0.00
1000,10,1200,980,10.20,0.9434,0.00
1000,10,1500,980,10.20,0.9434,0.00
1000,10,2000,980,10.20,0.9434,0.00
1000,10,2500,980,10.20,0.9434,0.00
1000,20,1000,1000,20.00,1.0000,0.00
1000,20,1200,1000,20.00,1.0000,0.00
1000,20,1500,1000,20.00,1.0000,0.00
1000,20,2000,1000,20.00,1.0000,0.00
1000,20,2500,1000,20.00,1.0000,0.00
1000,30,1000,1020,29.41,0.9398,1.96
1000,30,1200,1020,29.41,0.9475,0.00
1000,30,1500,1020,29.41,0.9475,0.00
1000,30,2000,1020,29.41,0.9475,0.00
1000,30,2500,1020,29.41,0.9475,0.00
1000,40,1000,1040,38.46,0.7987,3.85
1000,40,1200,1040,38.46,0.8244,0.00
1000,40,1500,1040,38.46,0.8244,0.00
1000,40,2000,1040,38.46,0.8244,0.00
1000,40,2500,1040,38.46,0.8244,0.00
1000,50,1000,980,51.02,0.6244,0.00
1000,50,1200,980,51.02,0.6244,0.00
1000,50,1500,980,51.02,0.6244,0.00
1000,50,2000,980,51.02,0.6244,0.00
1000,50,2500,980,51.02,0.6244,0.00
